Code,Title,Date,Day,Time,Duration,Room,Track,Speakers
GO225,"Automated Data Classification and Pseudonymization for Securely Sharing Data",2026-06-01,Monday,01:00 PM-01:20 PM,20.0 min,"Builders Hub Theater (Basecamp, South Hall D)",Governance & Security,"Chris Hastie"
GO202,"Enforcing Data Governance at the Orchestration Layer",2026-06-01,Monday,01:30 PM-01:50 PM,20.0 min,"Vertical Village Theater 2 (Basecamp, South Hall B)",Governance & Security,"Carter Page"
BI108,"AI Has Eaten BI: What Comes Next?",2026-06-01,Monday,02:00 PM-02:45 PM,45.0 min,"Room 216 (Moscone South, Level 2)",BI & Analytics,"Colin Zima | Sarah Fischbach | Mike Doll | Parag Shah"
AI260,"Prophecy: Claude Code for Data Analysts?",2026-06-01,Monday,03:30 PM-03:50 PM,20.0 min,"Basecamp South Theater 3 (Basecamp, South Hall C)",Generative AI & Agents,"Nathan Tong"
AI261,"WTF Is the Enterprise Context Layer? Demystified and Demoed",2026-06-01,Monday,04:00 PM-04:45 PM,45.0 min,"Room 210 (Moscone South, Level 2)",Generative AI & Agents,"Prukalpa Sankar"
K1,"Opening Keynote",2026-06-01,Monday,05:00 PM-06:15 PM,75.0 min,"Keynote (Basecamp, North Hall F)",,"Sridhar Ramaswamy | Julie Sweet | Manish Sharma | Daniela Amodei | Emmanuel Frenehard"
AI236,"Achieving Agentic AI ROI with Snowflake: Is Your Data Ready?",2026-06-02,Tuesday,11:30 AM-11:50 AM,20.0 min,"Basecamp South Theater 4 (Basecamp, South Hall C)",Generative AI & Agents,"Trey Wood"
AI118,"How a Universal Semantic Layer Provides Context for AI",2026-06-02,Tuesday,12:00 PM-12:20 PM,20.0 min,"Basecamp South Theater 3 (Basecamp, South Hall C)",Generative AI & Agents,"Dave Mariani Mariani"
IN216,"The Healthcare and Life Sciences Executive Panel",2026-06-02,Tuesday,12:30 PM-01:15 PM,45.0 min,"Room 151 (Moscone South, Upper Mezzanine)",Industry Innovation,"Brooke Mcculley | Tom Blakeley | Tina Esposito | Rich Fisher"
AI246,"Gaming at Scale: How NEXON Built an End-to-End AI Platform on Snowflake",2026-06-02,Tuesday,01:30 PM-01:50 PM,20.0 min,"Builders Hub Theater (Basecamp, South Hall D)",Generative AI & Agents,"Jaemyoun Lee"
HEX101,"Hex Product Roadmap: What's Coming Next",2026-06-02,Tuesday,01:30 PM-02:00 PM,30.0 min,"Club Hex - Hexpert Bar (667 Howard St)",Product & Platform,"Hex Product Team"
AD201,"Audience Flow Intelligence",2026-06-02,Tuesday,02:00 PM-02:20 PM,20.0 min,"Basecamp South Theater 4 (Basecamp, South Hall C)",Application Development,"JD Paletto | Jaclyn Mathai"
